[2022/7/28 - 23:54:04] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/28 - 23:54:35] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/28 - 23:58:40] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 0:01:59] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 0:08:47] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/29 - 0:09:10] test_gm (ID: 0 | SQL ID: 512 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 0:09:25] test_gm (ID: 0 | SQL ID: 512 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/29 - 0:21:20] wiliam_jack (ID: 0 | SQL ID: 513 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 0:25:12] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 0:27:42] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has timed out.
[2022/7/29 - 1:42:37] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 1:47:47] gm01 (ID: 0 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 1:48:16] Viet_Cong (ID: 1 | SQL ID: 498 | Level: 1 | IP: 42.113.156.76) has logged in.
[2022/7/29 - 1:49:14] Viet_Cong (ID: 1 | SQL ID: 498 | Level: 1 | IP: 42.113.156.76) has disconnected.
[2022/7/29 - 2:04:51] Alex_Piley (ID: 1 | SQL ID: 507 | Level: 1 | IP: 51.79.156.168) has logged in.
[2022/7/29 - 2:07:46] Alex_Piley (ID: 1 | SQL ID: 507 | Level: 1 | IP: 51.79.156.168) has timed out.
[2022/7/29 - 2:14:02] Kido (ID: 1 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has logged in.
[2022/7/29 - 2:21:41] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has logged in.
[2022/7/29 - 2:22:42] gm01 (ID: 1 | SQL ID: 495 | Level: 1 | IP: 117.0.24.212) has logged in.
[2022/7/29 - 2:26:19] Alex_Piley (ID: 2 | SQL ID: 507 | Level: 1 | IP: 51.79.156.168) has logged in.
[2022/7/29 - 2:27:36] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has timed out.
[2022/7/29 - 2:28:11] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has logged in.
[2022/7/29 - 2:28:50] Alex_Piley (ID: 2 | SQL ID: 507 | Level: 1 | IP: 51.79.156.168) has timed out.
[2022/7/29 - 2:29:13] Alex_Piley (ID: 2 | SQL ID: 507 | Level: 1 | IP: 51.79.156.168) has logged in.
[2022/7/29 - 2:36:30] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has timed out.
[2022/7/29 - 2:36:48] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has logged in.
[2022/7/29 - 2:49:25] GL_02 (ID: 0 | SQL ID: 506 | Level: 1 | IP: 14.225.192.8) has timed out.
[2022/7/29 - 2:49:50] gm01 (ID: 1 | SQL ID: 495 | Level: 3 | IP: 117.0.24.212) has timed out.
[2022/7/29 - 2:50:14] gm01 (ID: 0 | SQL ID: 495 | Level: 3 | IP: 117.0.24.212) has logged in.
